1 ,장jm,1234,24 ,1 ,1 
2 ,박le,1234,10 ,0 ,5 
3 ,김sm,1234,10 ,0 ,5 
4 ,강kd,1234,59 ,1 ,6 
5 ,이zx,1234,10 ,1 ,1 
6 ,조ht,1234,12 ,1 ,2 
7 ,이nf,1234,51 ,1 ,0 
8 ,장pc,1234,61 ,1 ,1 
9 ,조be,1234,30 ,0 ,8 
10 ,강ar,1234,58 ,0 ,3 
11 ,장wm,1234,41 ,0 ,0 
12 ,임st,1234,63 ,0 ,4 
13 ,강rp,1234,54 ,0 ,4 
14 ,정sd,1234,51 ,0 ,7 
15 ,강wj,1234,39 ,1 ,3 
16 ,이ls,1234,49 ,0 ,1 
17 ,박nq,1234,22 ,1 ,2 
18 ,김uh,1234,39 ,0 ,3 
19 ,정va,1234,32 ,0 ,8 
20 ,임ce,1234,45 ,1 ,2 
21 ,윤mj,1234,27 ,1 ,3 
22 ,강cd,1234,41 ,1 ,4 
23 ,윤gn,1234,57 ,0 ,7 
24 ,조nc,1234,61 ,1 ,8 
25 ,강xc,1234,29 ,1 ,6 
26 ,윤ov,1234,25 ,0 ,6 
27 ,박ty,1234,29 ,0 ,2 
28 ,김vl,1234,56 ,0 ,5 
29 ,윤ys,1234,37 ,1 ,2 
30 ,장dv,1234,49 ,1 ,3 
31 ,김ku,1234,10 ,0 ,4 
32 ,박yn,1234,45 ,1 ,1 
33 ,최gb,1234,53 ,1 ,5 
34 ,김fq,1234,27 ,0 ,6 
35 ,강dv,1234,4 ,1 ,3 
36 ,박qw,1234,34 ,0 ,5 
37 ,이an,1234,57 ,0 ,2 
38 ,강gj,1234,55 ,0 ,8 
39 ,이eh,1234,49 ,1 ,3 
40 ,강nf,1234,33 ,0 ,6 
41 ,윤op,1234,23 ,1 ,0 
42 ,강mp,1234,53 ,1 ,7 
43 ,김rn,1234,33 ,0 ,7 
44 ,최tk,1234,39 ,0 ,0 
45 ,윤vd,1234,8 ,1 ,6 
46 ,박fv,1234,38 ,1 ,7 
47 ,최vg,1234,28 ,0 ,2 
48 ,임dx,1234,47 ,0 ,4 
49 ,장pk,1234,32 ,1 ,2 
50 ,윤ib,1234,52 ,1 ,8 
51 ,박sj,1234,3 ,0 ,8 
52 ,김ew,1234,1 ,1 ,3 
53 ,조cd,1234,4 ,1 ,1 
54 ,박ks,1234,68 ,0 ,0 
55 ,김rf,1234,11 ,1 ,8 
56 ,강in,1234,4 ,1 ,1 
57 ,이nv,1234,30 ,0 ,6 
58 ,정dc,1234,66 ,0 ,2 
59 ,윤my,1234,14 ,1 ,2 
60 ,조vv,1234,21 ,0 ,1 
61 ,장po,1234,23 ,0 ,7 
62 ,임qp,1234,61 ,1 ,4 
63 ,이cy,1234,30 ,0 ,3 
64 ,정kb,1234,59 ,1 ,6 
65 ,김ka,1234,63 ,1 ,2 
66 ,김to,1234,5 ,1 ,6 
67 ,박zc,1234,59 ,0 ,1 
68 ,조ms,1234,3 ,1 ,8 
69 ,이ij,1234,30 ,1 ,0 
70 ,강qj,1234,26 ,0 ,4 
71 ,윤hz,1234,39 ,1 ,7 
72 ,윤ub,1234,15 ,1 ,6 
73 ,박ae,1234,3 ,0 ,1 
74 ,최cy,1234,28 ,1 ,5 
75 ,정an,1234,5 ,0 ,3 
76 ,조gf,1234,51 ,0 ,3 
77 ,김vw,1234,2 ,0 ,6 
78 ,임eg,1234,51 ,1 ,3 
79 ,장fc,1234,14 ,0 ,2 
80 ,최zx,1234,10 ,0 ,6 
81 ,장rh,1234,7 ,0 ,7 
82 ,윤hh,1234,43 ,1 ,1 
83 ,윤ls,1234,64 ,1 ,0 
84 ,장tv,1234,64 ,1 ,2 
85 ,임hb,1234,7 ,0 ,3 
86 ,이vd,1234,62 ,1 ,2 
87 ,임au,1234,40 ,1 ,1 
88 ,김ll,1234,1 ,0 ,5 
89 ,정kt,1234,22 ,0 ,8 
90 ,이xt,1234,55 ,1 ,6 
91 ,김bd,1234,64 ,0 ,0 
92 ,강rb,1234,44 ,1 ,8 
93 ,최lm,1234,51 ,1 ,2 
94 ,조ze,1234,22 ,1 ,4 
95 ,정si,1234,66 ,0 ,0 
96 ,장we,1234,4 ,0 ,6 
97 ,조px,1234,60 ,0 ,8 
98 ,임mi,1234,5 ,1 ,3 
99 ,강ow,1234,8 ,1 ,6 
100 ,강hm,1234,68 ,0 ,1 
101 ,이ie,1234,60 ,0 ,5 
102 ,윤qt,1234,8 ,1 ,5 
103 ,장xx,1234,16 ,0 ,2 
104 ,강me,1234,68 ,1 ,3 
105 ,윤bh,1234,34 ,0 ,7 
106 ,박ho,1234,68 ,0 ,1 
107 ,박cv,1234,57 ,0 ,7 
108 ,김az,1234,57 ,1 ,8 
109 ,정ps,1234,6 ,0 ,3 
110 ,임op,1234,58 ,1 ,6 
111 ,정ph,1234,7 ,1 ,3 
112 ,최bw,1234,27 ,1 ,7 
113 ,이pw,1234,64 ,0 ,2 
114 ,이ms,1234,38 ,1 ,3 
115 ,최vc,1234,7 ,1 ,7 
116 ,윤zl,1234,44 ,0 ,6 
117 ,조kv,1234,57 ,1 ,8 
118 ,윤ts,1234,60 ,1 ,4 
119 ,김ug,1234,51 ,0 ,6 
120 ,장si,1234,29 ,0 ,0 
121 ,임jv,1234,53 ,1 ,4 
122 ,윤uv,1234,57 ,0 ,0 
123 ,김sv,1234,51 ,1 ,7 
124 ,임yd,1234,30 ,0 ,4 
125 ,강em,1234,65 ,1 ,0 
126 ,임rb,1234,1 ,1 ,2 
127 ,장zk,1234,42 ,0 ,3 
128 ,윤bg,1234,32 ,1 ,2 
129 ,장ty,1234,67 ,1 ,5 
130 ,장nv,1234,66 ,1 ,1 
131 ,윤sa,1234,64 ,0 ,2 
132 ,임vl,1234,34 ,0 ,3 
133 ,정rv,1234,21 ,1 ,4 
134 ,최rw,1234,61 ,0 ,1 
135 ,윤vz,1234,38 ,0 ,4 
136 ,윤cd,1234,16 ,1 ,6 
